halo_id,m200_msun,pos_x,pos_y,pos_z
195,148659871959883.38,127559.78125,103861.6015625,83861.6171875
196,138183507251992.9,134134.078125,26642.548828125,142659.09375
197,138800209209846.47,9570.19140625,172565.09375,83091.828125
198,133830538294397.7,22286.49609375,7717.306640625,200508.53125
199,122852946468113.38,55977.578125,89408.8203125,10347.4794921875
200,117471508998099.34,162877.875,50919.66015625,160444.96875
201,151025664535355.78,148025.109375,65606.65625,78567.09375
202,158652510979480.38,12116.705078125,95859.515625,193298.484375
203,165268916537496.3,118999.5625,36327.20703125,168512.46875
204,106813577765168.3,38302.1015625,84176.6640625,158186.90625
205,93913034327022.44,151377.6875,48790.9140625,153332.203125
206,115317160800948.48,93810.140625,142280.640625,37114.078125
207,96327546904985.97,191686.84375,30434.98828125,42398.7265625
208,66639996447815.17,17749.306640625,11772.8818359375,145896.8125
209,136998902628616.77,6359.7919921875,114417.53125,192920.578125
210,129193654044877.47,48930.375,88886.3046875,200686.65625
211,129321411601343.38,161826.890625,99515.5390625,36916.80078125
212,80945519806890.31,161499.015625,89814.7109375,186042.859375
213,116116784419286.98,69240.6015625,82575.7734375,122667.4921875
214,138947198156554.47,48168.7734375,184974.796875,66772.0625
215,116181470512252.73,6503.2265625,106030.8203125,17114.6328125
216,127733063113559.2,198728.296875,56876.78515625,107177.8203125
217,144810090742175.97,115921.0,93695.6796875,89740.8046875
218,121661840077871.27,169417.390625,53710.0546875,62751.62109375
219,66468168156739.0,51859.28125,57481.484375,203037.234375
220,128017598307868.31,162712.203125,38109.0078125,184838.296875
221,122974577082410.69,185251.4375,73195.2890625,174848.375
222,126042228903712.72,31529.79296875,92648.78125,8534.419921875
223,131011842153823.44,46921.50390625,21378.939453125,52368.7265625
224,122311771686780.34,100161.0,117437.59375,84095.2109375
225,128242103885259.81,69672.921875,98949.3046875,157154.75
226,114129831490349.12,937.1019897460938,200660.078125,200633.546875
227,121109319641275.47,72133.5078125,51989.1796875,43344.515625
228,104807804311522.0,146831.65625,60936.14453125,160673.0625
229,144828485985016.25,157185.65625,128151.21875,13789.810546875
230,134836365953461.77,162942.28125,172769.375,39789.44140625
231,121593203909248.6,110080.75,27368.912109375,126616.0625
232,138538985228447.0,37430.55859375,173546.890625,41364.89453125
233,146538926409802.2,148205.484375,196527.640625,144425.640625
234,160051126088721.6,15435.404296875,12820.9052734375,128701.046875
235,124389468233318.58,130183.75,175300.8125,72413.4375
236,111531135822630.64,12368.349609375,50141.83984375,83419.2421875
237,74851807289360.05,179376.390625,91898.359375,189979.21875
238,67912648834237.52,83818.8203125,200288.0,76139.421875
239,113186664429251.55,47848.94921875,50600.671875,148570.09375
240,70644464934861.23,58317.0859375,13478.8984375,47452.7890625
241,116610615958075.0,43541.421875,74768.203125,147094.15625
242,109316433641035.58,51171.87890625,82008.3046875,35800.38671875
243,117173371992175.97,140228.03125,48824.69921875,60642.12890625
244,124116797682314.73,119744.015625,35182.4921875,24377.921875
245,116268905581082.08,14300.419921875,175974.6875,116102.828125
246,57181904299758.266,103237.8828125,53723.29296875,46336.6015625
247,131623656974276.64,68785.9140625,12035.8720703125,188147.375
248,105788100642161.2,59427.82421875,30588.203125,47762.52734375
249,113038219432757.61,131892.359375,78334.765625,11086.0751953125
250,78968420442593.0,160763.109375,39670.19921875,174857.171875
251,119521036026996.61,114432.4609375,195277.171875,131327.140625
252,118042583257215.1,183230.015625,31063.70703125,187635.53125
253,123567074014614.7,150113.90625,68647.40625,137688.6875
254,110979653362119.88,97614.2578125,84686.890625,63568.67578125
255,107881323580971.36,124027.6171875,79236.4453125,180007.203125
256,125519060124188.08,173618.6875,30661.70703125,154615.3125
257,121995635887215.83,204821.5,106180.75,195596.140625
258,114313596506403.16,15856.35546875,7235.95556640625,154586.359375
259,112847260665780.92,115290.6796875,131397.375,179702.140625
260,66928957456820.195,153283.953125,30226.03515625,40314.8984375
261,103206841531037.8,183379.203125,114447.4765625,203038.953125
262,116867457373782.11,137931.09375,159215.84375,185441.984375
263,103605208102671.98,21738.171875,108490.0703125,137779.828125
264,60795924386902.125,113339.015625,98748.0625,140258.84375
265,116946098478557.72,179707.984375,133204.84375,51946.06640625
266,86725085979019.05,174887.71875,110286.5,22983.927734375
267,101806864078184.97,186087.078125,109840.5859375,190187.734375
268,101358335870608.2,87985.7109375,202369.078125,47219.18359375
269,90008932360865.08,35739.20703125,137322.0625,170205.875
270,111056968164120.17,142997.640625,25999.203125,123494.8203125
271,98774272782421.77,144355.21875,86444.0078125,8969.9501953125
272,126265105435304.11,42419.8984375,96329.7421875,47660.28125
273,80389467368338.5,52327.8515625,82213.109375,133161.5625
274,104744826554196.19,80611.7421875,118093.546875,80540.8203125
275,100861289489223.5,48244.3515625,96199.5625,36406.9765625
276,106887043405853.27,138348.8125,39012.828125,116967.1171875
277,111711844575767.64,70696.5234375,179683.015625,53879.3671875
278,120271557609979.33,164808.53125,27429.416015625,39750.9609375
279,118847872495017.72,34273.671875,85607.5390625,147846.625
280,87607639561651.17,69393.375,158541.703125,204782.578125
281,95220329165282.7,156805.859375,101595.2265625,180114.46875
282,80834182455436.22,161774.4375,40315.18359375,168735.15625
283,102168360874298.8,182562.734375,104674.2109375,198540.265625
284,109812225801317.53,99600.40625,151569.859375,126177.234375
285,131206405004428.7,140351.203125,60184.50390625,69900.609375
286,113904626720733.69,69948.8671875,200454.921875,76555.03125
287,90832198767807.06,180399.515625,100577.4765625,194409.5625
288,106871891838278.72,21988.955078125,172554.59375,120392.671875
289,82948431618135.52,37733.56640625,100791.046875,185783.03125
290,60722775905576.47,41003.015625,93053.2109375,15303.888671875
291,91769181221397.98,9323.1220703125,194119.203125,45514.8359375
292,88006337708979.19,101169.7421875,17612.81640625,29664.2578125
293,100814083201856.36,52569.23046875,61860.234375,11085.5634765625
294,50851093536638.25,40331.0546875,92443.8359375,82747.4609375
295,115491000170689.4,58545.671875,10639.1220703125,72317.0078125
296,79690138189216.12,29140.501953125,89499.8515625,78673.578125
297,98328015147531.0,160542.1875,100322.734375,40060.0546875
298,100322039288548.12,53207.50390625,54134.35546875,204930.234375
299,108280245181484.36,126910.1796875,79033.875,182938.234375
300,91905970611437.11,161693.265625,44797.81640625,159238.6875
301,78486158012252.73,124453.6484375,79964.1953125,12538.412109375
302,125426608170947.73,139669.6875,164870.109375,177069.875
303,106752690376347.06,85499.859375,19088.52734375,108177.015625
304,64784952979683.35,21471.755859375,93429.34375,194332.921875
305,106751421738909.8,181689.4375,185109.40625,165687.1875
306,108786647763968.84,196888.0625,14989.9404296875,64508.2578125
307,100631759819253.77,51845.75390625,189628.0625,86815.1875
308,100990423805635.52,23184.65625,181097.125,125409.2890625
309,102281824635093.73,22076.412109375,118069.4609375,8247.857421875
310,87421034527697.81,62781.35546875,17229.40625,113079.953125
311,85799355474516.53,132309.234375,135215.71875,167342.53125
312,90020342889633.16,17634.58984375,155358.40625,149500.484375
313,106644214667294.06,164361.3125,122138.9140625,40865.9296875
314,116380149226361.83,12602.5068359375,46745.765625,91175.0625
315,87792565092633.6,67707.953125,107771.7890625,54027.9375
316,45303623142022.805,134242.6875,29514.12890625,143893.71875
317,108471881516183.2,28293.478515625,180606.515625,40661.0234375
318,58181100444945.75,146715.890625,28462.638671875,148917.65625
319,95636189958850.02,127316.1875,73895.4453125,990.1947021484375
320,107388263316079.86,107164.6640625,100220.609375,136933.875
321,68799851684750.516,140934.15625,61256.44140625,135045.75
322,55327235656323.81,166964.9375,17247.28515625,52968.7890625
323,98153570291740.48,177945.296875,60002.1640625,117655.8671875
324,90568048270501.19,27108.697265625,17516.8515625,138585.125
325,43680026716351.125,30157.77734375,80631.515625,95756.5234375
326,99792794024025.69,20510.25390625,66117.5703125,183707.609375
327,99669909188625.62,54905.52734375,134664.34375,91844.6328125
