z,interp,rho_X,p_X,w_X,A_X,A_total,q
0.14,finite,5010.635984321777,-8805.196085310616,-1.7573010916901515,-21404.952271610073,-21012.647727272768,-0.3149350649350663
0.25,finite,5693.08593896037,-10763.34736037433,-1.8905998391339678,-26596.95614216262,-26079.603916083925,-0.36666548341675265
0.4,finite,6180.001439730274,-13651.637544004474,-2.209002324213099,-34774.91119228315,-34047.73199999998,-0.4884075411151222
0.65,finite,7165.6275436912665,-14625.401843251091,-2.0410496853311235,-36710.577986062,-35519.215142857174,-0.3752969678024387
1.0,finite,8740.200675581678,-15954.2373315227,-1.8253857003644727,-39122.51131898642,-36998.5304201681,-0.23460055807351765
1.5,finite,11863.432191370466,-20502.156880208327,-1.728180896513382,-49643.03844925451,-45488.249999999985,-0.14043598035692884
2.1,finite,15144.762632828886,-29723.471885126826,-1.9626238195834165,-74025.65302255159,-66089.41764705883,-0.14467683108696816
3.2,finite,19251.04474399168,-48360.39363698565,-2.5120919035876796,-125830.13616696528,-106026.6697178683,-0.12061842184008675
5.0,finite,16188.143223105302,-86277.22479990509,-5.329655391037175,-242643.53117660998,-184589.55687331525,-0.0840318420011944
8.5,finite,-54751.35557376984,-189316.2756223872,3.45774590671659,-622700.1824409316,-389811.12109613663,-0.03832394281551066
