halo_id,m200_msun,r200_kpc_h,n_gas_particles,control_gas_mass_ratio,control_inner_icm_T_K,control_pass,n_annulus,n_whim,mass_annulus_msun,mass_whim_msun,whim_mass_fraction_pct,group_mass_total_msun,group_nsubs,group_first_sub_id,elapsed_s,cold_fraction_pct,whim_fraction_pct_recomputed,hot_fraction_pct,hot_fraction_inner_pct,hot_fraction_outer_pct
23,392225501457779.75,1045.540771484375,5775418,0.9999866580369632,36849812.0,True,1225711,132435,14435297235514.25,1551079121394.5598,10.745044567413116,560220662182610.0,2677,92076,64.3,2.7651171373947707,10.745044567413116,86.48983829519211,94.40588269134747,2.5962899070831953
24,367364878579864.2,1022.9683837890625,5591420,0.9999950666174868,33469550.0,True,1398755,646521,16328981558329.898,7569207769985.516,46.354438842049134,536074397512548.0,2654,94753,75.6,1.717863886483689,46.354438842049134,51.927697271467174,72.5538542005045,21.686685117818964
25,219906737848759.97,862.1451416015625,5540923,0.9999877253837861,26253356.0,True,1695519,659286,19989301591947.953,7893293423474.797,39.48758983482623,532539973612341.3,2831,97407,69.1,0.4081445328530525,39.48758983482623,60.10426563232072,68.39537796691361,29.112446296103602
26,278377257021331.56,932.6347045898438,5682967,0.9999929309743268,28420988.0,True,1508211,689173,17680756670593.18,8154695608306.77,46.12187000949878,512800609407292.56,2360,100238,57.8,1.2530408644275142,46.12187000949878,52.6250891260737,61.68767771887246,45.32970359184281
27,456104481519412.44,1099.4970703125,5836025,0.9999940804877429,40906676.0,True,342783,35454,4071979366695.679,426484886219.5747,10.473650473471276,499125389817685.25,1801,102598,56.8,3.855830193229803,10.473650473471276,85.67051933329893,86.2604197848028,23.68145006397274
28,471019477044582.25,1111.35546875,5592412,0.9999889384795448,47281248.0,True,304566,134623,3567070467783.173,1610163086578.2441,45.139648939397375,503952555266460.0,2414,104399,48.8,3.4992919221042778,45.139648939397375,51.36105913849835,51.36105913849835,nan
29,212362410503395.34,852.1715087890625,5341014,0.9999868527273229,26928140.0,True,760830,286952,8919577922133.27,3431233837629.62,38.4685673199319,492075398582816.6,2465,106813,56.8,1.637823582317247,38.4685673199319,59.89360909775083,48.69829040329368,70.98599929144466
30,389327328065028.06,1042.9461669921875,5117690,0.9999994202055168,35249024.0,True,759357,266818,8967428831299.182,3200294481906.8765,35.68798305637876,500442869796279.9,2659,109278,49.1,1.3691526081510523,35.68798305637876,62.942864335470205,62.77841124941712,87.26617911743506
31,390177372813330.4,1043.7596435546875,5028909,0.9999952450786521,42666164.0,True,757719,55507,8933384438135.898,679988386918.4409,7.611766756791808,492002163603483.94,2249,111937,45.5,1.1455069720544513,7.611766756791808,91.24272627115376,91.24301309233888,85.9727686746897
32,390393733161721.3,1043.893798828125,5115399,0.9999945541915131,37966464.0,True,649709,85035,7652912566085.414,1038148220077.9075,13.565400246156697,472852629308754.06,1894,114186,45.2,0.5391068853578561,13.565400246156697,85.89549286848546,85.93748450722546,48.05906223488123
33,369590789461544.1,1025.0029296875,4912655,0.9999917726114571,46053812.0,True,683175,495026,7984480252313.209,5819391026833.439,72.88378007006136,467892660586433.44,2175,116080,51.3,2.039097160989153,72.88378007006136,25.077122768949486,25.68121994586217,3.9476288409239095
34,367825826459625.06,1023.380859375,5070182,0.9999930891915086,32479492.0,True,686275,111406,8101921496250.813,1337897896757.4082,16.513340660934865,457605683265057.56,2239,118255,39.6,2.2544949279043673,16.513340660934865,81.23216441116075,81.4568998176003,3.7027527655365753
35,381228058338869.2,1035.70703125,5143479,0.9999970691218805,36572956.0,True,493101,54954,5870715976409.568,667981982126.0673,11.378203013231001,447255072243135.5,1746,120494,38.9,1.4472360657778574,11.378203013231001,87.17456092099114,87.19382843482283,37.805342545599466
36,374207966581783.3,1029.2822265625,4887514,0.999991093641398,36122320.0,True,604383,175477,7095595043828.815,2126085113753.1516,29.963450572087698,450893034257824.06,2092,122240,39.3,1.4572576334407858,29.963450572087698,68.57929179447153,68.57370632167019,72.14032438462746
37,197666874838537.06,832.0463256835938,4914137,0.9999965978179538,22956622.0,True,2410386,392304,28100320386379.58,4663659149792.572,16.596462551555394,445847663169840.56,2061,124332,53.0,0.41932323827560825,16.596462551555394,82.984214210169,78.83144211648002,84.23341883601549
38,128062115948848.53,719.945068359375,4680418,0.999979092862421,21398598.0,True,671846,270514,7871963264690.262,3237617636656.538,41.12846475260996,454185407901535.25,2231,126393,50.3,0.9743785326502249,41.12846475260996,57.89715671473983,56.35305681613629,61.120437535993965
39,334133439898878.06,991.1527099609375,4645369,0.99999349013735,38861600.0,True,798473,94866,9445148803189.422,1167650766412.052,12.362439075790544,453641739094331.25,2112,128624,45.3,2.0105327703536333,12.362439075790544,85.62702815385582,86.12537334609979,59.824240378792666
40,235068094114444.94,881.5040283203125,4760606,0.9999858182741934,26923616.0,True,2014415,436485,23534586452397.15,5148433309592.355,21.876030496673355,422034963647770.9,2017,130736,33.3,0.8031669389459901,21.876030496673355,77.32080256438066,85.43009866725058,12.609138991932696
41,357260815710806.0,1013.5068359375,4482965,0.9999940691786698,27364192.0,True,612099,128392,7168936288464.083,1512799120950.1653,21.1021420762867,424741197962798.94,2111,132753,26.8,1.1616193476287757,21.1021420762867,77.7362385760845,77.76581972258566,0.41608177664043405
42,198878726334145.25,833.72509765625,4410310,0.9999898464454222,26201380.0,True,1237295,392982,14366116864155.0,4675597869262.505,32.54601026481013,412773996853779.1,2099,134864,33.6,1.1379688969309218,32.54601026481013,66.31602083825895,49.813871056149374,73.52562324125758
43,343380711175081.2,1000.2139282226562,4347608,0.9999893002538639,33686908.0,True,554707,158916,6571703464617.38,1931061659004.6167,29.384491698410002,418021859776350.75,1723,136963,33.5,2.17426954288263,29.384491698410002,68.44123875870734,70.21112361848093,20.851470902246284
44,332506181724239.75,989.5186157226562,4611001,0.9999917874250195,33462928.0,True,606326,151625,7159191384512.131,1838506528897.8232,25.680365702684867,407138363365441.4,1787,138686,36.4,2.0666326249342513,25.680365702684867,72.25300167238089,72.80869649407775,56.951161872646146
